X,Y,OBJECTID_1,OBJECTID,GCOMPID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,PIPECO,COMPID,OPERATOR,POSREL,NUM_UNITS,CERT_HP,PLANT_COST,EXP_FUEL,EXP_OTHER,GAS_COMPRE,OP_COMP_HR,OP_NUM_COM,OP_DATE_PE,EXP_POWER,ELEC_COMPR
-87.7577019999999,35.0243100000001,1082,1082,GCOMP741,#555 - COLLINWOOD,6100 PUMPING STATION RD,CYPRESS INN,TN,38452,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,WAYNE,47181,USA,35.02431,-87.757702,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/02 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://pipeline2.kindermorgan.com/,"TENNESSEE GAS PIPELINE COMPANY, L.L.C.",9,"TENNESSEE GAS PIPELINE COMPANY, L.L.C.",WITHIN 40 FEET,7,25000,15485466,552,318706,170,10,3,2012/10/22 00:00:00+00,0,0
-107.833804567,39.5328440770001,1083,1083,GCOMP742,COLORADO - RIFLE,613 COUNTY RD 264,RIFLE,CO,81650,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,GARFIELD,08045,USA,39.532844077,-107.833804567,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, CORPORATE WEBSITE",2015/09/11 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.questarpipeline.com/,QUESTAR PIPELINE COMPANY,55,QUESTAR PIPELINE COMPANY,WITHIN 40 FEET,2,650,1038984,0,10473,0,0,0,1970/01/01 00:00:00+00,0,0
-82.543246,39.239313,1084,1084,GCOMP743,MCARTHUR,61318 MT. ZION RD.,MCARTHUR,OH,45651,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,VINTON,39163,USA,39.239313,-82.543246,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/28 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.columbiapipeinfo.com/,"COLUMBIA GAS TRANSMISSION,LLC",21,"COLUMBIA GAS TRANSMISSION,LLC",WITHIN 40 FEET,3,3300,5015693,72346,1464103,27167,2916,2,2012/02/12 00:00:00+00,0,0
-100.48035,39.276301,1085,1085,GCOMP744,578 HOXIE,6135 S ROAD 20 W,HOXIE,KS,67740,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,SHERIDAN,20179,USA,39.276301,-100.48035,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/09 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,https://csi.sscgp.com/,"SOUTHERN STAR CENTRAL GAS PIPELINE, INC.",43,"SOUTHERN STAR CENTRAL GAS PIPELINE, INC.",WITHIN 40 FEET,1,2400,3867101,206793,130283,78578,4297,1,2012/06/03 00:00:00+00,0,0
-93.5086009999999,32.4731410000001,1086,1086,GCOMP745,HAUGHTON,6172 HIGHWAY 157 SOUTH,HAUGHTON,LA,71037,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,BOSSIER,22015,USA,32.473141,-93.508601,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/08/28 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://infopost.bwpmlp.com/,"TEXAS GAS TRANSMISSION, LLC",18,"TEXAS GAS TRANSMISSION, LLC",WITHIN 40 FEET,3,12338,30279538,655785,1317545,246214,20273,3,2012/02/17 00:00:00+00,0,0
-82.556225,39.631648,1087,1087,GCOMP746,CRAWFORD,6175 OLD LOGAN RD.,CRAWFORD,OH,43155,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,FAIRFIELD,39045,USA,39.631648,-82.556225,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/29 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.columbiapipeinfo.com/,"COLUMBIA GAS TRANSMISSION,LLC",21,"COLUMBIA GAS TRANSMISSION,LLC",WITHIN 40 FEET,14,28650,40279247,1913333,5027928,678113,48697,10,2012/12/30 00:00:00+00,0,0
-85.440738403,40.022370256,1088,1088,GCOMP747,SULPHUR SPRINGS,6180 N COUNTY ROAD 300 W,SULPHUR SPRINGS,IN,47388,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,HENRY,18065,USA,40.022370256,-85.440738403,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/10/21 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://anrebb.transcanada.com/,ANR PIPELINE COMPANY,48,ANR PIPELINE COMPANY,WITHIN 40 FEET,2,5700,15726914,102752,309472,39611,2429,1,2012/02/25 00:00:00+00,0,0
-95.4868121229999,37.813864741,1089,1089,GCOMP748,591 HUMBOLDT,620 GEORGIA RD,HUMBOLDT,KS,66748,1212,NATURAL GAS COMPRESSOR STATION,IN SERVICE,ALLEN,20001,USA,37.813864741,-95.486812123,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/09 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,https://csi.sscgp.com/,"SOUTHERN STAR CENTRAL GAS PIPELINE, INC.",43,"SOUTHERN STAR CENTRAL GAS PIPELINE, INC.",WITHIN 40 FEET,1,9300,2223288,97810,29973,27533,234,1,2012/12/30 00:00:00+00,0,0
-82.044276,38.337209,1090,1090,GCOMP749,NYE,6207 HAMLIN RD,HAMLIN,WV,25523,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,LINCOLN,54043,USA,38.337209,-82.044276,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, IMAGERY",2015/09/28 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.columbiapipeinfo.com/,"COLUMBIA GAS TRANSMISSION,LLC",21,"COLUMBIA GAS TRANSMISSION,LLC",WITHIN 40 FEET,2,634,250833,52230,165432,18366,8085,2,2012/10/10 00:00:00+00,3839,-999
-85.385710617,43.628572348,1091,1091,GCOMP75,WOOLFOLK (SEE FOOTNOTE),11039 150TH AVENUE,BIG RAPIDS,MI,49307,9482,NATURAL GAS COMPRESSOR STATION,IN SERVICE,MECOSTA,26107,USA,43.628572348,-85.385710617,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/10/21 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://anrebb.transcanada.com/,ANR PIPELINE COMPANY,48,ANR PIPELINE COMPANY,WITHIN 40 FEET,17,44280,26905499,1042993,2203092,402165,31603,10,2012/12/02 00:00:00+00,0,0
-94.033831,45.6517040000001,1092,1092,GCOMP750,POPPLE CREEK,6220 GOLDEN SPIKE RD NE,SAUK RAPIDS,MN,56379,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,BENTON,27009,USA,45.651704,-94.033831,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/15 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.northernnaturalgas.com/,NORTHERN NATURAL GAS COMPANY,59,NORTHERN NATURAL GAS COMPANY,WITHIN 40 FEET,1,2000,3373310,0,48654,0,245,1,2012/12/11 00:00:00+00,23639,249375
-74.730111,40.532538,1093,1093,GCOMP751,NO. 505 CENTERVILLE,623 CASE RD.,NESHANIC STATION,NJ,08853,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,SOMERSET,34035,USA,40.532538,-74.730111,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/08/21 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.1line.williams.com/,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",29,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WITHIN 40 FEET,8,16000,31011826,6321,2277800,1613,110,3,2012/08/03 00:00:00+00,0,0
